symbol,security_id,segment
20MICRONS,16921,NSE_EQ
21STCENMGM,4,NSE_EQ
360ONE,13061,NSE_EQ
3BBLACKBIO,762518,NSE_EQ
3MINDIA,474,NSE_EQ
3PLAND,2595,NSE_EQ
5PAISA,445,NSE_EQ
63MOONS,11868,NSE_EQ
A2ZINFRA,20906,NSE_EQ
AAATECH,12533,NSE_EQ
AADHARHFC,23729,NSE_EQ
AAKASH,235,NSE_EQ
AAREYDRUGS,5245,NSE_EQ
AARON,1030,NSE_EQ
AARTIDRUGS,4481,NSE_EQ
AARTIIND,7,NSE_EQ
AARTIPHARM,13868,NSE_EQ
AARVI,19073,NSE_EQ
AASTHA,763800,NSE_EQ
AAVAS,5385,NSE_EQ
ABANSENT,762523,NSE_EQ
ABB,13,NSE_EQ
ABBOTINDIA,17903,NSE_EQ
ABCAPITAL,21614,NSE_EQ
ABCOTS,759130,NSE_EQ
ABDL,24308,NSE_EQ
ABFRL,30108,NSE_EQ
ABLBL,756843,NSE_EQ
ABMKNO,762528,NSE_EQ
ABREL,625,NSE_EQ
ABSLAMC,6018,NSE_EQ
ACC,22,NSE_EQ
ACCELYA,7053,NSE_EQ
ACE,13587,NSE_EQ
ACEINTEG,11779,NSE_EQ
ACGL,764558,NSE_EQ
ACI,12024,NSE_EQ
ACL,15420,NSE_EQ
ACMESOLAR,27061,NSE_EQ
ACUTAAS,5578,NSE_EQ
ADANIENSOL,10217,NSE_EQ
ADANIENT,25,NSE_EQ
ADANIGREEN,3563,NSE_EQ
ADANIPORTS,15083,NSE_EQ
ADANIPOWER,17388,NSE_EQ
ADDIND,764563,NSE_EQ
ADFFOODS,19761,NSE_EQ
ADL,245,NSE_EQ
ADOR,34,NSE_EQ
ADROITINFO,4953,NSE_EQ
ADSL,14813,NSE_EQ
ADVAIT,760657,NSE_EQ
ADVANCE,759402,NSE_EQ
ADVANIHOTR,14745,NSE_EQ
ADVENTHTL,759769,NSE_EQ
ADVENZYMES,18039,NSE_EQ
ADVIKCA,765015,NSE_EQ
AEGISLOG,40,NSE_EQ
AEGISVOPAK,757336,NSE_EQ
AEPL,761330,NSE_EQ
AEQUS,760234,NSE_EQ
AEROENTER,12015,NSE_EQ
AEROFLEX,18268,NSE_EQ
AERONEU,13689,NSE_EQ
AEROPLANE,761670,NSE_EQ
AETHER,9810,NSE_EQ
AFCONS,25977,NSE_EQ
AFFLE,11343,NSE_EQ
AFIL,24159,NSE_EQ
AFSL,13288,NSE_EQ
AGARIND,3389,NSE_EQ
AGARWALEYE,29452,NSE_EQ
AGI,1412,NSE_EQ
AGIIL,24445,NSE_EQ
AGL,763784,NSE_EQ
AGRITECH,11072,NSE_EQ
AGROPHOS,9046,NSE_EQ
AHCL,758968,NSE_EQ
AHLADA,2004,NSE_EQ
AHLEAST,19438,NSE_EQ
AHLUCONT,17833,NSE_EQ
AIAENG,13086,NSE_EQ
AIIL,23553,NSE_EQ
AIRAN,9897,NSE_EQ
AIROLAM,6068,NSE_EQ
AJANTPHARM,8124,NSE_EQ
AJAXENGG,29624,NSE_EQ
AJMERA,17307,NSE_EQ
AJOONI,3403,NSE_EQ
AKASH,13510,NSE_EQ
AKCAPIT,762538,NSE_EQ
AKG,2176,NSE_EQ
AKSHAR,9558,NSE_EQ
AKUMS,24715,NSE_EQ
ALANKIT,9921,NSE_EQ
ALBERTDAVD,17256,NSE_EQ
ALEMBICLTD,79,NSE_EQ
ALFREDHE,764573,NSE_EQ
ALGOQUANT,761270,NSE_EQ
ALICON,13656,NSE_EQ
ALIVUS,5265,NSE_EQ
ALKEM,11703,NSE_EQ
ALKYLAMINE,4487,NSE_EQ
ALLCARGO,13501,NSE_EQ
ALLDIGI,11798,NSE_EQ
ALLTIME,758448,NSE_EQ
ALMONDZ,16719,NSE_EQ
ALOKINDS,17675,NSE_EQ
ALPA,14848,NSE_EQ
ALPINETEX,764186,NSE_EQ
